#fields	domain	description
#
# IoT Security Gateway - Known-Bad Domain Names
#
# Zeek reads this file via Input::add_table with mode=REREAD.
# Changes take effect automatically without restarting Zeek.
#
# Format (tab-separated):
#   domain<TAB>description
#   - Domain must be lowercase (Zeek lowercases all DNS queries before matching)
#   - Lines beginning with # are comments
#   - The #fields line above is required by Zeek and must remain as the first line
#
# How this file works alongside AdGuard:
#   AdGuard blocks at the DNS level — the device never receives an IP.
#   This file catches the complementary case: a device that already has
#   a cached IP, received it out-of-band, or is attempting a direct
#   connection to infrastructure it resolved before AdGuard was deployed.
#
# Alert behaviour:
#   Any DNS query matching a domain in this file triggers a CRITICAL alert
#   and, if auto_isolate = T in local.zeek, the device is immediately isolated.
#   See docs/operations/alert-response.md for the investigation workflow.
#
# TELEMETRY SECTION WARNING:
#   Domains in the Telemetry section are not malicious — they are operated
#   by device manufacturers and analytics vendors. Including them here will
#   trigger CRITICAL alerts (and isolation if auto_isolate = T) for any
#   affected device. Review your device inventory before enabling this section
#   in a production environment, and consider leaving auto_isolate = F until
#   you have established a false-positive baseline.
#
# Updating this file:
#   1. Add new entries directly — Zeek picks them up without a restart
#   2. Remove entries by deleting the line
#   3. Verify IOC currency before adding (sources listed in each section)
#   4. For high-volume automated updates, consider the update script approach
#      documented in docs/operations/alert-response.md
#
# Sources used in this file:
#   - Cisco Talos threat research (blog.talosintelligence.com)
#   - Radware Threat Research (blog.radware.com)
#   - Qihoo 360 Netlab blog (blog.netlab.360.com)
#   - CISA / FBI joint advisories (cisa.gov)
#   - IoT Inspector (Princeton) privacy research
#   - Academic IoT privacy studies (2018-2024)
#
# Last reviewed: 2026-03

# ===========================================================================
# Telemetry / Data Harvesting
# ===========================================================================
# These domains collect usage, behavioural, or device data from IoT devices.
# They are operated by manufacturers and third-party analytics vendors and
# are NOT indicators of compromise in the traditional sense.
#
# They are included here for two reasons:
#   1. Consumer IoT devices often collect data that the owner has not
#      knowingly consented to, and blocking these domains is a legitimate
#      privacy control.
#   2. Some IoT malware (particularly Chinese-origin threats) piggybacks on
#      legitimate analytics channels; unusual volume to these domains can
#      indicate malicious abuse of installed analytics SDKs.
#
# IMPORTANT: Read the warning at the top of this file before enabling
# this section in a production environment.
#
# Sources: IoT Inspector (Princeton, 2020), "Your Smart TV is Watching You"
# (Ren et al., IMC 2019), multiple USENIX / CCS IoT privacy papers.
# ---------------------------------------------------------------------------

# Samsung Automatic Content Recognition (ACR)
# Smart TVs sample audio and video content, generate fingerprints, and
# report them to Samsung for targeted advertising. This is distinct from
# Samsung's standard update and service infrastructure.
# Source: IoT Inspector, Ren et al. IMC 2019, documented in Samsung privacy policy.
samsungacr.com	Samsung Smart TV Automatic Content Recognition - content fingerprinting for ad targeting

# Xiaomi analytics and ad targeting
# Xiaomi MIUI devices (phones, tablets, and some smart home hubs) phone home
# to these endpoints. `tracking.miui.com` records usage metrics. The ad SDK
# config endpoint pulls advertising targeting configuration.
# Source: IoT Inspector, multiple Xiaomi privacy analyses (2019-2023).
tracking.miui.com	Xiaomi MIUI analytics - device usage and behavioural tracking
data.mistat.xiaomi.com	Xiaomi device statistics - hardware and software telemetry
sdkconfig.ad.xiaomi.com	Xiaomi ad SDK configuration - targeted advertising data collection

# LG Smart TV advertising
# LG Smart TVs run targeted advertising through their Smart TV platform.
# This endpoint is used for ad targeting data collection.
# Source: IoT Inspector research, LG privacy documentation.
ack.ud.lgsmartad.com	LG Smart TV ad targeting data collection

# Vizio Smart Interactivity / Inscape
# Vizio TVs enabled "Smart Interactivity" by default, collecting viewing data.
# Inscape is Vizio's ACR subsidiary. Vizio settled FTC charges over this in 2017.
# Source: FTC settlement record, IoT Inspector.
inscape.tv	Vizio ACR / Inscape viewing data collection - FTC-sanctioned in 2017
